,Jobs,Application Links,Post Date,Location,Closed Date,Status
0,US-Business Expert,https://jobs.apple.com/en-us/details/114438148/us-business-expert?team=STDNT,"Jan 24, 2021",U.S,As Soon As Possible,OPEN
1,"US - Specialist: Full-Time, Part-Time, and Part-Time Temporary",https://jobs.apple.com/en-us/details/114438158/us-specialist-full-time-part-time-and-part-time-temporary?team=STDNT,"Jan 24, 2021",U.S,As Soon As Possible,OPEN
2,US-Genius,https://jobs.apple.com/en-us/details/114438151/us-genius?team=STDNT,"Jan 24, 2021",U.S,As Soon As Possible,OPEN
3,US-Creative,https://jobs.apple.com/en-us/details/114438149/us-creative?team=STDNT,"Jan 24, 2021",U.S,As Soon As Possible,OPEN
4,US-Expert,https://jobs.apple.com/en-us/details/114438150/us-expert?team=STDNT,"Jan 24, 2021",U.S,As Soon As Possible,OPEN
5,US-Operations Expert,https://jobs.apple.com/en-us/details/114438152/us-operations-expert?team=STDNT,"Jan 24, 2021",U.S,As Soon As Possible,OPEN
6,US-Technical Specialist,https://jobs.apple.com/en-us/details/114438201/us-technical-specialist?team=STDNT,"Jan 24, 2021",U.S,As Soon As Possible,OPEN
7,Worldwide eCommerce Marketplace Leader,https://jobs.apple.com/en-us/details/200213600/worldwide-ecommerce-marketplace-leader?team=SLDEV,"Dec 24, 2020",U.S,As Soon As Possible,OPEN
8,"WW Channel Sales Training and Enablement Manager, Cupertino",https://jobs.apple.com/en-us/details/200176528/ww-channel-sales-training-and-enablement-manager-cupertino?team=SLDEV,"Nov 9, 2020",U.S,As Soon As Possible,OPEN
9,"WW Channel Sales Training and Enablement Manager,  Austin, Texas",https://jobs.apple.com/en-us/details/200198721/ww-channel-sales-training-and-enablement-manager-austin-texas?team=SLDEV,"Oct 12, 2020",U.S,As Soon As Possible,OPEN
10,Expert,https://jobs.apple.com/en-us/details/200182177/expert?team=STDNT,"Jul 24, 2020",U.S,As Soon As Possible,OPEN
11,"Software Engineer / Trainer, Austin, Texas",https://jobs.apple.com/en-us/details/200160194/software-engineer-trainer-austin-texas?team=SLDEV,"Apr 6, 2020",U.S,As Soon As Possible,OPEN
