,Jobs,Application Links,Location,Post Date,Closed Date,Status
0,Compute Engineering Internship,https://www.citadel.com/careers/details/compute-engineering-internship/,Chicago,Not Posted,As Soon As Possible,OPEN
1,Information Security Engineering Internship,https://www.citadel.com/careers/details/information-security-engineering-internship/,Chicago,Not Posted,As Soon As Possible,OPEN
2,Network Engineering Internship,https://www.citadel.com/careers/details/network-engineering-internship/,Chicago,Not Posted,As Soon As Possible,OPEN
3,Operations Internship (Europe),https://www.citadel.com/careers/details/operations-internship-europe/,London,Not Posted,As Soon As Possible,OPEN
4,Quantitative Researcher – Intern (Asia),https://www.citadel.com/careers/details/quantitative-researcher-intern-asia/,Hong Kong,Not Posted,As Soon As Possible,OPEN
5,Quantitative Researcher – Intern (Europe),https://www.citadel.com/careers/details/quantitative-researcher-intern-europe/,"Dublin, London",Not Posted,As Soon As Possible,OPEN
6,Quantitative Researcher – Intern (US),https://www.citadel.com/careers/details/quantitative-researcher-intern-us/,"Chicago, Hong Kong, London, New York",Not Posted,As Soon As Possible,OPEN
7,Software Engineer – Intern (Asia),https://www.citadel.com/careers/details/software-engineer-intern-asia/,Hong Kong,Not Posted,As Soon As Possible,OPEN
8,Software Engineer – Intern (Europe),https://www.citadel.com/careers/details/software-engineer-intern-europe/,"Dublin, London",Not Posted,As Soon As Possible,OPEN
9,Software Engineer – Intern (US),https://www.citadel.com/careers/details/software-engineer-intern-us/,"Chicago, New York",Not Posted,As Soon As Possible,OPEN
10,Storage Engineering Internship,https://www.citadel.com/careers/details/storage-engineering-internship/,Chicago,Not Posted,As Soon As Possible,OPEN
11,Trader – Intern (Europe),https://www.citadel.com/careers/details/trader-intern-europe/,London,Not Posted,As Soon As Possible,OPEN
12,Trader – Intern (US),https://www.citadel.com/careers/details/trader-intern-us/,"Chicago, New York",Not Posted,As Soon As Possible,OPEN
13,Treasury Strategist Internship (US and Europe),https://www.citadel.com/careers/details/treasury-strategist-internship-us-and-europe/,"London, New York",Not Posted,As Soon As Possible,OPEN
