,Jobs,Application Links,Post Date,Location,Closed Date,Status
0,"Strategic Sourcing Manager Intern, Optics (MBA)",https://www.facebook.com/careers/v2/jobs/381487173092148/,Not Available,U.S,As Soon As Possible,OPEN
1,"Strategic Sourcing Manager Intern, Audio (MBA)",https://www.facebook.com/careers/v2/jobs/3264453527017797/,Not Available,U.S,As Soon As Possible,OPEN
2,"Global Supply Manager Intern, Custom Mechanicals (MBA)",https://www.facebook.com/careers/v2/jobs/3139957396110283/,Not Available,U.S,As Soon As Possible,OPEN
3,"Strategic Sourcing Manager Intern, Displays (MBA)",https://www.facebook.com/careers/v2/jobs/358676425430777/,Not Available,U.S,As Soon As Possible,OPEN
4,"Research Engineering Intern, Machine Learning for Embedded Audio (PhD) ",https://www.facebook.com/careers/v2/jobs/3461754687252436/,Not Available,U.S,As Soon As Possible,OPEN
5,"Research Intern, Image Sensor Optimization (PhD)",https://www.facebook.com/careers/v2/jobs/357148558844605/,Not Available,U.S,As Soon As Possible,OPEN
6,"Research Engineering Intern, Wireless Technologies (PhD)",https://www.facebook.com/careers/v2/jobs/388287235657124/,Not Available,U.S,As Soon As Possible,OPEN
7,Research Intern (FAIR) (AI) - Paris,https://www.facebook.com/careers/v2/jobs/280466759588942/,Not Available,U.S,As Soon As Possible,OPEN
8,"Core Data Science Intern, Adaptive Experimentation Research (PhD)",https://www.facebook.com/careers/v2/jobs/330237338160875/,Not Available,U.S,As Soon As Possible,OPEN
9,"Core Data Science Intern, Economic Research (PhD)",https://www.facebook.com/careers/v2/jobs/714487255776673/,Not Available,U.S,As Soon As Possible,OPEN
10,"Core Data Science Intern, Optimization Research (PhD)",https://www.facebook.com/careers/v2/jobs/647853736139979/,Not Available,U.S,As Soon As Possible,OPEN
11,"Research Intern, 3D Sensing (PhD)",https://www.facebook.com/careers/v2/jobs/1324833321202333/,Not Available,U.S,As Soon As Possible,OPEN
12,"Research Intern, Intelligent Image Sensors (PhD)",https://www.facebook.com/careers/v2/jobs/351038995965887/,Not Available,U.S,As Soon As Possible,OPEN
13,"Research Intern, BCI Optics Research (PhD)",https://www.facebook.com/careers/v2/jobs/191959315835799/,Not Available,U.S,As Soon As Possible,OPEN
14,"Core Data Science Intern, Societal Impact (PhD)",https://www.facebook.com/careers/v2/jobs/2692130037722305/,Not Available,U.S,As Soon As Possible,OPEN
15,Research Intern - Interaction Tracking (PhD),https://www.facebook.com/careers/v2/jobs/353607426052900/,Not Available,U.S,As Soon As Possible,OPEN
16,"Core Data Science Intern, Computational Social Science (PhD)",https://www.facebook.com/careers/v2/jobs/3201207859973107/,Not Available,U.S,As Soon As Possible,OPEN
17,"Research Intern, Color Perception (PhD)",https://www.facebook.com/careers/v2/jobs/3454728254613866/,Not Available,U.S,As Soon As Possible,OPEN
18,"Research Intern, Computational Imaging Algorithm (PhD)",https://www.facebook.com/careers/v2/jobs/665585287442026/,Not Available,U.S,As Soon As Possible,OPEN
19,"Research Intern, Deep Learning for On-Device Computer Vision (PhD)",https://www.facebook.com/careers/v2/jobs/695315031173859/,Not Available,U.S,As Soon As Possible,OPEN
20,"Research Engineering Intern,  ML for Antenna Design (PhD)",https://www.facebook.com/careers/v2/jobs/383792252694732/,Not Available,U.S,As Soon As Possible,OPEN
21,"Research Intern, Biosensing (PhD)",https://www.facebook.com/careers/v2/jobs/278766450102446/,Not Available,U.S,As Soon As Possible,OPEN
22,Research Engineer Intern - Interaction Tracking (PhD) (Menlo Park),https://www.facebook.com/careers/v2/jobs/426015068799863/,Not Available,U.S,As Soon As Possible,OPEN
23,"Asset Management & Reliability Engineer, Intern",https://www.facebook.com/careers/v2/jobs/1725089407650621/,Not Available,U.S,As Soon As Possible,OPEN
24,"Workforce Strategy Analyst, Intern",https://www.facebook.com/careers/v2/jobs/461601088447844/,Not Available,U.S,As Soon As Possible,OPEN
25,Security Program Manager Intern,https://www.facebook.com/careers/v2/jobs/198794498464337/,Not Available,U.S,As Soon As Possible,OPEN
26,"Research Intern, Physics-Based Alignment of Geometric Models (PhD)",https://www.facebook.com/careers/v2/jobs/380107510003337/,Not Available,U.S,As Soon As Possible,OPEN
27,"Research Intern, AR/VR Optical Components (PhD)",https://www.facebook.com/careers/v2/jobs/411336450028817/,Not Available,U.S,As Soon As Possible,OPEN
28,"Research Intern, Computational Imaging and Display (PhD)",https://www.facebook.com/careers/v2/jobs/615267012473346/,Not Available,U.S,As Soon As Possible,OPEN
29,"UX Researcher Intern, Growth (PhD)",https://www.facebook.com/careers/v2/jobs/1227972470934471/,Not Available,U.S,As Soon As Possible,OPEN
