,Jobs,Application Links,Post Date,Location,Closed Date,Status
0,"

Internship Opportunities for Students: Explore Program

",https://careers.microsoft.com/students/us/en/job/870951/Internship-Opportunities-for-Students-Explore-Program,"Aug 17, 2020",U.S,As Soon As Possible,OPEN
1,"

Internship Opportunities for Students - Program Manager

",https://careers.microsoft.com/students/us/en/job/870958/Internship-Opportunities-for-Students-Program-Manager,"Aug 17, 2020",U.S,As Soon As Possible,OPEN
2,"

Internship Opportunities for PhD Students: Machine Learning

",https://careers.microsoft.com/students/us/en/job/870930/Internship-Opportunities-for-PhD-Students-Machine-Learning,"Aug 28, 2020",U.S,As Soon As Possible,OPEN
3,"

Internship Opportunities for PhD Students: Cognition & Speech Scientist

",https://careers.microsoft.com/students/us/en/job/870920/Internship-Opportunities-for-PhD-Students-Cognition-Speech-Scientist,"Aug 28, 2020",U.S,As Soon As Possible,OPEN
4,"

Internship Opportunities for PhD Students - Researcher

",https://careers.microsoft.com/students/us/en/job/870918/Internship-Opportunities-for-PhD-Students-Researcher,"Aug 28, 2020",U.S,As Soon As Possible,OPEN
5,"

Internship Opportunities for PhD Students - Software Engineering

",https://careers.microsoft.com/students/us/en/job/873700/Internship-Opportunities-for-PhD-Students-Software-Engineering,"Aug 28, 2020",U.S,As Soon As Possible,OPEN
6,"

Internship Opportunities for PhD Students: Natural Language Processing

",https://careers.microsoft.com/students/us/en/job/870916/Internship-Opportunities-for-PhD-Students-Natural-Language-Processing,"Aug 28, 2020",U.S,As Soon As Possible,OPEN
7,"

Internship Opportunities for Students: Data & Applied Sciences

",https://careers.microsoft.com/students/us/en/job/870923/Internship-Opportunities-for-Students-Data-Applied-Sciences,"Aug 25, 2020",U.S,As Soon As Possible,OPEN
8,"

Internship Opportunities for Students – Garage Software Engineer

",https://careers.microsoft.com/students/us/en/job/870952/Internship-Opportunities-for-Students-Garage-Software-Engineer,"Dec 15, 2020",U.S,As Soon As Possible,OPEN
9,"

Microsoft Legal Internship

",https://careers.microsoft.com/students/us/en/job/960773/Microsoft-Legal-Internship,"Jan 7, 2021",U.S,As Soon As Possible,OPEN
10,"

Internship Opportunities for PhD Students - GSL Researcher

",https://careers.microsoft.com/students/us/en/job/935895/Internship-Opportunities-for-PhD-Students-GSL-Researcher,"Nov 17, 2020",U.S,As Soon As Possible,OPEN
11,"

Internship Opportunities for Students attending NSBE 47 Conference – Software Engineer

",https://careers.microsoft.com/students/us/en/job/969278/Internship-Opportunities-for-Students-attending-NSBE-47-Conference-Software-Engineer,"Jan 21, 2021",U.S,As Soon As Possible,OPEN
12,"

Internship Opportunities for Students : Garage Program Manager

",https://careers.microsoft.com/students/us/en/job/870953/Internship-Opportunities-for-Students-Garage-Program-Manager,"Dec 15, 2020",U.S,As Soon As Possible,OPEN
13,"

Internship Opportunities for Undergraduate Students: Content Writer/Publisher

",https://careers.microsoft.com/students/us/en/job/952985/Internship-Opportunities-for-Undergraduate-Students-Content-Writer-Publisher,"Dec 17, 2020",U.S,As Soon As Possible,OPEN
14,"

Intern Opportunities for Students: Microsoft Federal – Technical Consulting and Client Success

",https://careers.microsoft.com/students/us/en/job/943981/Intern-Opportunities-for-Students-Microsoft-Federal-Technical-Consulting-and-Client-Success,"Dec 3, 2020",U.S,As Soon As Possible,OPEN
15,"

Internship Opportunities for Students - Service Engineer

",https://careers.microsoft.com/students/us/en/job/953606/Internship-Opportunities-for-Students-Service-Engineer,"Dec 18, 2020",U.S,As Soon As Possible,OPEN
16,"

Internship Opportunities for Students - Silicon Engineering

",https://careers.microsoft.com/students/us/en/job/870946/Internship-Opportunities-for-Students-Silicon-Engineering,"Aug 11, 2020",U.S,As Soon As Possible,OPEN
17,"

Internship Opportunities for Students - Cleared Software Engineering CTJ

",https://careers.microsoft.com/students/us/en/job/870940/Internship-Opportunities-for-Students - Cleared-Software-Engineering-CTJ,"Aug 11, 2020",U.S,As Soon As Possible,OPEN
18,"

Internship Opportunities for PhD Students - Cleared Software Engineer CTJ

",https://careers.microsoft.com/students/us/en/job/889735/Internship-Opportunities-for-PhD-Students-Cleared-Software-Engineer-CTJ,"Aug 24, 2020",U.S,As Soon As Possible,OPEN
19,"

Ability Hiring Program, Internship Opportunities for Students - Software Engineer

",https://careers.microsoft.com/students/us/en/job/889670/Ability-Hiring-Program-Internship-Opportunities-for-Students-Software-Engineer,"Aug 24, 2020",U.S,As Soon As Possible,OPEN
20,"

Internship Opportunities for Undergrad Students:  Microsoft Federal - Business Programs and Operations

",https://careers.microsoft.com/students/us/en/job/950899/Internship-Opportunities-for-Undergrad-Students-Microsoft-Federal-Business-Programs-and-Operations,"Dec 15, 2020",U.S,As Soon As Possible,OPEN
21,"

Internship Opportunities for Students - Site Reliability Engineer

",https://careers.microsoft.com/students/us/en/job/953637/Internship-Opportunities-for-Students-Site-Reliability-Engineer,"Dec 18, 2020",U.S,As Soon As Possible,OPEN
22,"

Ability Hiring Program, Internship Opportunities for Students - Program Manager

",https://careers.microsoft.com/students/us/en/job/889636/Ability-Hiring-Program-Internship-Opportunities-for-Students-Program-Manager,"Aug 24, 2020",U.S,As Soon As Possible,OPEN
23,"

Internship Opportunities for PhD Students - Data & Applied Sciences

",https://careers.microsoft.com/students/us/en/job/870926/Internship-Opportunities-for-PhD-Students-Data-Applied-Sciences,"Aug 24, 2020",U.S,As Soon As Possible,OPEN
24,"

Internship Opportunities for Students - Software Engineer

",https://careers.microsoft.com/students/us/en/job/870957/Internship-Opportunities-for-Students-Software-Engineer,"Aug 17, 2020",U.S,As Soon As Possible,OPEN
25,"

Internship Opportunities for PhD Students: Computer Vision

",https://careers.microsoft.com/students/us/en/job/870922/Internship-Opportunities-for-PhD-Students-Computer-Vision,"Aug 28, 2020",U.S,As Soon As Possible,OPEN
26,"

Internship Opportunities for Students: UX Design & Research

",https://careers.microsoft.com/students/us/en/job/870933/Internship-Opportunities-for-Students-UX-Design-Research,"Aug 24, 2020",U.S,As Soon As Possible,OPEN
27,"

Internship Opportunities for PhD Students - Hardware Engineering

",https://careers.microsoft.com/students/us/en/job/870928/Internship-Opportunities-for-PhD-Students-Hardware-Engineering,"Sep 1, 2020",U.S,As Soon As Possible,OPEN
