,Jobs,Application Links,Post Date,Location,Closed Date,Status
0,Software - Factory Firmware Integration Engineering Internship (Fall 2021),https://www.tesla.com/careers/search/job/software-factory-firmware-integration-engineering-internship-fall-2021-80356,12/30/2020,U.S,As Soon As Possible,OPEN
1,Residential Energy - Demand Generation Internship (Fall 2021),https://www.tesla.com/careers/search/job/residential-energy-demand-generation-internship-fall-2021-80335,12/30/2020,U.S,As Soon As Possible,OPEN
2,Supply Chain - Logistics Internship (Fall 2021),https://www.tesla.com/careers/search/job/supply-chain-logistics-internship-fall-2021-80348,12/30/2020,U.S,As Soon As Possible,OPEN
3,Visual and Graphic Design Internship (Fall 2021),https://www.tesla.com/careers/search/job/visual-and-graphic-design-internship-fall-2021-80362,12/30/2020,U.S,As Soon As Possible,OPEN
4,"Software Engineer, Internationalization",https://www.tesla.com/careers/search/job/software-engineer-internationalization-77880,11/24/2020,U.S,As Soon As Possible,OPEN
5,Software - Mobile Engineering Internship (Fall 2021),https://www.tesla.com/careers/search/job/software-mobile-engineering-internship-fall-2021-80353,12/30/2020,U.S,As Soon As Possible,OPEN
6,Manufacturing - Engineering Internship (Fall 2021),https://www.tesla.com/careers/search/job/manufacturing-engineering-internship-fall-2021-80311,12/30/2020,U.S,As Soon As Possible,OPEN
7,Software - Full Stack Engineering Internship (Fall 2021),https://www.tesla.com/careers/search/job/software-full-stack-engineering-internship-fall-2021-80351,12/30/2020,U.S,As Soon As Possible,OPEN
8,Energy - Supercharger Internship (Fall 2021),https://www.tesla.com/careers/search/job/energy-supercharger-internship-fall-2021-80372,12/30/2020,U.S,As Soon As Possible,OPEN
9,Vehicle Hardware - Electrical/Computer Engineering Internship (Fall 2021),https://www.tesla.com/careers/search/job/vehicle-hardware-electrical-computer-engineering-internship-fall-2021-80343,12/30/2020,U.S,As Soon As Possible,OPEN
10,Energy Operations – Training Content Producer Internship (Fall 2021),https://www.tesla.com/careers/search/job/energy-operations-training-content-producer-internship-fall-2021-80350,12/30/2020,U.S,As Soon As Possible,OPEN
11,Vehicle Engineering - Quality Design Internship (Fall 2021),https://www.tesla.com/careers/search/job/vehicle-engineering-quality-design-internship-fall-2021-80361,12/30/2020,U.S,As Soon As Possible,OPEN
