,Jobs,Application Links,Location,Post Date,Closed Date,Status
0,Facilities Clerk,https://jobs.sephora.com/USA/job/Maryland-Facilities-Clerk-MD-21130/684750100/,"Maryland, MD, US, 21130","Jan 7, 2021",As soon as possible,Open
1,"Merchandise Coordinator, Makeup",https://jobs.sephora.com/USA/job/San-Francisco-CA-94105/707080200/,"San Francisco, CA, US, 94105","Jan 20, 2021",As soon as possible,Open
2,"Merchant, Skincare",https://jobs.sephora.com/USA/job/San-Francisco-CA-94105/704292100/,"San Francisco, CA, US, 94105","Jan 11, 2021",As soon as possible,Open
3,"Merchant, Skincare",https://jobs.sephora.com/USA/job/San-Francisco-Merchant%2C-Skincare-CA-94105/696685700/,"San Francisco, CA, US, 94105","Jan 2, 2021",As soon as possible,Open
4,Operations Assistant Manager (Lead),https://jobs.sephora.com/USA/job/Boulder-CO-80301/706527700/,"Boulder, CO, US, 80301","Jan 19, 2021",As soon as possible,Open
5,Operations Assistant Manager (Lead),https://jobs.sephora.com/USA/job/Aurora-Operations-Assistant-Manager-%28Lead%29-CO-80016/706004900/,"Aurora, CO, US, 80016","Jan 15, 2021",As soon as possible,Open
6,Operations Assistant Manager (Lead),https://jobs.sephora.com/USA/job/Murfreesboro-Operations-Assistant-Manager-%28Lead%29-TN-37129/692766500/,"Murfreesboro, TN, US, 37129","Jan 13, 2021",As soon as possible,Open
7,Operations Assistant Manager (Lead),https://jobs.sephora.com/USA/job/Rochester-Hills-MI-48309/695657800/,"Rochester Hills, MI, US, 48309","Dec 29, 2020",As soon as possible,Open
8,Operations Assistant Manager (Lead),https://jobs.sephora.com/USA/job/Annapolis-Operations-Assistant-Manager-%28Lead%29-MD-21401/702458400/,"Annapolis, MD, US, 21401","Jan 4, 2021",As soon as possible,Open
9,Operations Assistant Manager (Lead),https://jobs.sephora.com/USA/job/Pittsburgh-PA-15232/688319900/,"Pittsburgh, PA, US, 15232","Dec 28, 2020",As soon as possible,Open
10,Operations Assistant Manager (Lead),https://jobs.sephora.com/USA/job/Englishtown-NJ-07726/704859900/,"Englishtown, NJ, US, 07726","Jan 12, 2021",As soon as possible,Open
11,Operations Assistant Manager (Lead),https://jobs.sephora.com/USA/job/Owings-Mills-Operations-Assistant-Manager-%28Lead%29-MD-21117/703672500/,"Owings Mills, MD, US, 21117","Jan 7, 2021",As soon as possible,Open
12,Operations Assistant Manager (Lead),https://jobs.sephora.com/USA/job/Aiea-Operations-Assistant-Manager-%28Lead%29-HI-96701/705278000/,"Aiea, HI, US, 96701","Jan 13, 2021",As soon as possible,Open
