,Jobs,Application Links,Location,Post Date,Closed Date,Status
0,Verizon Legal Intern - NJ LEEP Alumni,https://www.verizon.com/about/work/jobs/6187863-verizon-legal-intern-nj-leep-alumni,"Location: Basking Ridge, NJ, United States Basking Ridge, NJ, United States",Date: 2021-01-22,As Soon As Possible,OPEN
1,Device Technology Entry Level Opportunities,https://www.verizon.com/about/work/jobs/6183452-device-technology-entry-level-opportunities,"Location: Boston, MA, United States Boston, MA, United States",Date: 2021-01-21,As Soon As Possible,OPEN
2,Process Engineering & Automation Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6183397-process-engineering-and-automation-summer-2021-internship,"Location: Bedminster, NJ, United States Bedminster, NJ, United States",Date: 2021-01-21,As Soon As Possible,OPEN
3,Network Engineering Project Management Summer 2021 Internship Opportunities,https://www.verizon.com/about/work/jobs/6183422-network-engineering-project-management-summer-2021-internship-opportunities,"Location: West Nyack, NY, United States West Nyack, NY, United States",Date: 2021-01-21,As Soon As Possible,OPEN
4,Predictive Analytics Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6183334-predictive-analytics-summer-2021-internship,"Location: Bedminster, NJ, United States Bedminster, NJ, United States",Date: 2021-01-21,As Soon As Possible,OPEN
5,Predictive Analytics Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6183335-predictive-analytics-summer-2021-internship,"Location: Bedminster, NJ, United States Bedminster, NJ, United States",Date: 2021-01-21,As Soon As Possible,OPEN
6,Software Development Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6183307-software-development-summer-2021-internship,"Location: Boston, MA, United States Boston, MA, United States",Date: 2021-01-21,As Soon As Possible,OPEN
7,Software Development Entry Level Opportunities,https://www.verizon.com/about/work/jobs/6183472-software-development-entry-level-opportunities,"Location: Boston, MA, United States Boston, MA, United States",Date: 2021-01-21,As Soon As Possible,OPEN
8,Radio Frequency Design Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6183398-radio-frequency-design-summer-2021-internship,"Location: Southfield, MI, United States Southfield, MI, United States",Date: 2021-01-21,As Soon As Possible,OPEN
9,Visible Marketing & Business Operations Summer 2021 Internship - Remote,https://www.verizon.com/about/work/jobs/5608556-visible-marketing-and-business-operations-summer-2021-internship-remote,"Location: Basking Ridge, NJ, United States Basking Ridge, NJ, United States",Date: 2021-01-20,As Soon As Possible,OPEN
10,Visible eCommerce & Growth MBA Intern - Remote,https://www.verizon.com/about/work/jobs/5605930-visible-ecommerce-and-growth-mba-intern-remote,"Location: Basking Ridge, NJ, United States Basking Ridge, NJ, United States",Date: 2021-01-19,As Soon As Possible,OPEN
11,Corporate Communications Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6108962-corporate-communications-summer-2021-internship,"Location: Basking Ridge, NJ, United States Basking Ridge, NJ, United States",Date: 2021-01-11,As Soon As Possible,OPEN
12,Network Engineering & Field Operation Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6058661-network-engineering-and-field-operation-summer-2021-internship,"Location: Richmond, VA, United States Richmond, VA, United States",Date: 2021-01-11,As Soon As Possible,OPEN
13,Network Infrastructure and Security Entry-Level Opportunities,https://www.verizon.com/about/work/jobs/6131481-network-infrastructure-and-security-entry-level-opportunities,"Location: Richardson, TX, United States Richardson, TX, United States",Date: 2021-01-11,As Soon As Possible,OPEN
14,Technology Audit Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6131268-technology-audit-summer-2021-internship,"Location: Basking Ridge, NJ, United States Basking Ridge, NJ, United States",Date: 2021-01-11,As Soon As Possible,OPEN
15,BlueJeans System Integration Entry-Level Opportunity,https://www.verizon.com/about/work/jobs/6131514-bluejeans-system-integration-entry-level-opportunity,"Location: Richardson, TX, United States Richardson, TX, United States",Date: 2021-01-11,As Soon As Possible,OPEN
16,Network Engineering & Field Operation Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6058621-network-engineering-and-field-operation-summer-2021-internship,"Location: Arlington, TN, United States Arlington, TN, United States",Date: 2021-01-11,As Soon As Possible,OPEN
17,Network Engineering & Field Operation Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6058635-network-engineering-and-field-operation-summer-2021-internship,"Location: New York, NY, United States New York, NY, United States",Date: 2021-01-11,As Soon As Possible,OPEN
18,Network Engineering & Field Operation Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6058634-network-engineering-and-field-operation-summer-2021-internship,"Location: Santa Ana, CA, United States Santa Ana, CA, United States",Date: 2021-01-11,As Soon As Possible,OPEN
19,Analytics Intern,https://www.verizon.com/about/work/jobs/6131361-analytics-intern,"Location: Basking Ridge, NJ, United States Basking Ridge, NJ, United States",Date: 2021-01-11,As Soon As Possible,OPEN
20,Network Engineering & Field Operation Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6058622-network-engineering-and-field-operation-summer-2021-internship,"Location: North Royalton, OH, United States North Royalton, OH, United States",Date: 2021-01-11,As Soon As Possible,OPEN
21,Network Engineering & Field Operation Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6097633-network-engineering-and-field-operation-summer-2021-internship,"Location: Westborough, MA, United States Westborough, MA, United States",Date: 2021-01-11,As Soon As Possible,OPEN
22,Network Engineering Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6116844-network-engineering-summer-2021-internship,"Location: Basking Ridge, NJ, United States Basking Ridge, NJ, United States",Date: 2021-01-08,As Soon As Possible,OPEN
